tip_x,tip_y,tip_position,crack_length,crack_area,ctod_10px,ctod_20px,ctod_30px,ctod_40px,ctod_50px,ctod,crack_width,tip_radius,frame
212.31,89.46,"(89.46, np.float64(212.31))",81.27,690.6060000000001,8.82,6.93,8.82,10.08,10.08,6.93,14.49,12.996162519153206,101
211.68,89.46,"(89.46, np.float64(211.68))",82.53,725.5332000000001,10.08,8.19,9.45,11.34,10.08,8.19,13.86,25.479489826038062,102
212.94,90.09,"(90.09, np.float64(212.94))",81.9,703.7037,7.5600000000000005,6.93,10.08,11.34,10.08,6.93,13.23,15.485701857024845,103
212.94,90.72,"(90.72, np.float64(212.94))",80.64,677.1114,8.82,7.5600000000000005,10.08,10.08,8.82,7.5600000000000005,11.97,15.911901665962526,104
213.57,88.83,"(88.83, np.float64(213.57))",79.38,571.1391000000001,6.3,5.67,7.5600000000000005,8.19,8.19,5.67,11.34,15.546937450254152,105
212.31,89.46,"(89.46, np.float64(212.31))",83.16,768.0015000000001,9.45,7.5600000000000005,10.08,10.71,10.71,7.5600000000000005,13.23,14.562149562089962,106
212.31,89.46,"(89.46, np.float64(212.31))",81.27,696.9564,8.82,8.82,10.08,9.45,9.45,8.82,12.6,25.378342181227403,107
212.94,88.2,"(88.2, np.float64(212.94))",83.79,741.8061,8.19,6.93,8.82,10.08,10.71,6.93,14.49,26.665467377842113,108
213.57,89.46,"(89.46, np.float64(213.57))",80.01,664.8075,7.5600000000000005,5.67,10.08,10.08,10.08,5.67,12.6,15.6591178426794,109
214.2,88.83,"(88.83, np.float64(214.2))",81.27,689.0184,5.67,5.67,9.45,10.71,10.08,5.67,13.86,16.32095094609373,110
215.46,88.83,"(88.83, np.float64(215.46))",80.01,507.23820000000006,3.15,5.04,6.3,6.93,6.93,5.04,10.08,16.654730670879133,111
212.94,88.2,"(88.2, np.float64(212.94))",81.27,725.9301,8.19,8.19,9.45,9.45,10.71,8.19,14.49,14.173494802416021,112
212.94,90.09,"(90.09, np.float64(212.94))",78.75,705.2913000000001,8.19,6.93,9.45,11.34,11.97,6.93,14.49,15.81788658770714,113
213.57,89.46,"(89.46, np.float64(213.57))",81.27,707.6727000000001,6.93,6.3,8.82,9.45,11.34,6.3,14.49,15.626568962087124,114
213.57,89.46,"(89.46, np.float64(213.57))",80.01,662.0292000000001,6.93,6.3,8.82,9.45,8.82,6.3,11.97,16.232919421666857,115
213.57,89.46,"(89.46, np.float64(213.57))",82.53,724.7394,7.5600000000000005,7.5600000000000005,8.19,8.82,10.08,7.5600000000000005,13.23,15.491794794070108,116
213.57,88.83,"(88.83, np.float64(213.57))",80.01,654.0912000000001,6.93,6.3,8.19,9.45,8.82,6.3,12.6,15.831552636233843,117
212.31,88.83,"(88.83, np.float64(212.31))",81.27,698.1471,7.5600000000000005,7.5600000000000005,8.19,10.08,10.71,7.5600000000000005,14.49,24.725275851854814,118
213.57,89.46,"(89.46, np.float64(213.57))",79.38,666.3951000000001,6.93,8.19,10.08,10.08,10.08,8.19,13.23,15.789560506109742,119
214.83,89.46,"(89.46, np.float64(214.83))",81.27,634.6431,5.67,6.3,8.19,8.82,8.82,6.3,13.23,16.450008399120712,120
213.57,90.72,"(90.72, np.float64(213.57))",79.38,688.2246,7.5600000000000005,7.5600000000000005,10.71,11.34,11.97,7.5600000000000005,14.49,16.222338987927916,121
213.57,89.46,"(89.46, np.float64(213.57))",79.38,625.5144,6.93,6.93,8.82,8.82,8.19,6.93,11.97,15.769197305000786,122
213.57,89.46,"(89.46, np.float64(213.57))",79.38,645.3594,7.5600000000000005,6.93,9.45,8.82,9.45,6.93,12.6,15.906804831557071,123
214.2,90.09,"(90.09, np.float64(214.2))",78.12,614.0043000000001,6.93,6.93,8.19,9.45,8.19,6.93,11.34,16.65522355838726,124
213.57,89.46,"(89.46, np.float64(213.57))",80.01,631.071,6.3,5.04,6.93,8.82,9.45,5.04,12.6,16.490952653656784,125
212.94,88.83,"(88.83, np.float64(212.94))",78.75,636.2307000000001,6.93,6.3,7.5600000000000005,9.45,9.45,6.3,13.23,22.601058008740168,126
